Code,License Type,Indicator Name,Long definition,Source,Topic,Periodicity,Aggregation method,Statistical concept and methodology,Development relevance,Limitations and exceptions,General comments,Notes from original source,License URL
SE.SEC.CMPT.LO.FE.ZS,CC BY-4.0,"Lower secondary completion rate, female (% of relevant age group)","Lower secondary education completion rate is measured as the gross intake ratio to the last grade of lower secondary education (general and pre-vocational). It is calculated as the number of new entrants in the last grade of lower secondary education, regardless of age, divided by the population at the entrance age for the last grade of lower secondary education.",UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of September 2021.,Education,Annual,Weighted average,"Lower secondary completion rate is calculated as the number of new entrants (enrollment minus repeaters) in the last grade of lower secondary education, regardless of age, divided by the population at the entrance age for the last grade of lower secondary education. 

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. Population data are drawn from the United Nations Population Division. Using a single source for population data standardizes definitions, estimations, and interpolation methods, ensuring a consistent methodology across countries and minimizing potential enumeration problems in national censuses.

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).",,"Data limitations preclude adjusting for students who drop out during the final year of lower secondary education. Thus this rate is a proxy that should be taken as an upper estimate of the actual lower secondary completion rate. 

There are many reasons why the rate can exceed 100 percent. The numerator may include late entrants and overage children who have repeated one or more grades of lower secondary education as well as children who entered school early, while the denominator is the number of children at the entrance age for the last grade of lower secondary education.","For aggregate data, each economy is classified based on the classification of World Bank Group's fiscal year 2021 (July 1, 2020-June 30, 2021).",,https://datacatalog.worldbank.org/public-licenses#cc-by
SE.SEC.CMPT.LO.MA.ZS,CC BY-4.0,"Lower secondary completion rate, male (% of relevant age group)","Lower secondary education completion rate is measured as the gross intake ratio to the last grade of lower secondary education (general and pre-vocational). It is calculated as the number of new entrants in the last grade of lower secondary education, regardless of age, divided by the population at the entrance age for the last grade of lower secondary education.",UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of September 2021.,Education,Annual,Weighted average,"Lower secondary completion rate is calculated as the number of new entrants (enrollment minus repeaters) in the last grade of lower secondary education, regardless of age, divided by the population at the entrance age for the last grade of lower secondary education. 

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. Population data are drawn from the United Nations Population Division. Using a single source for population data standardizes definitions, estimations, and interpolation methods, ensuring a consistent methodology across countries and minimizing potential enumeration problems in national censuses.

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).",,"Data limitations preclude adjusting for students who drop out during the final year of lower secondary education. Thus this rate is a proxy that should be taken as an upper estimate of the actual lower secondary completion rate. 

There are many reasons why the rate can exceed 100 percent. The numerator may include late entrants and overage children who have repeated one or more grades of lower secondary education as well as children who entered school early, while the denominator is the number of children at the entrance age for the last grade of lower secondary education.","For aggregate data, each economy is classified based on the classification of World Bank Group's fiscal year 2021 (July 1, 2020-June 30, 2021).",,https://datacatalog.worldbank.org/public-licenses#cc-by
SE.SEC.CMPT.LO.ZS,CC BY-4.0,"Lower secondary completion rate, total (% of relevant age group)","Lower secondary education completion rate is measured as the gross intake ratio to the last grade of lower secondary education (general and pre-vocational). It is calculated as the number of new entrants in the last grade of lower secondary education, regardless of age, divided by the population at the entrance age for the last grade of lower secondary education.",UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of September 2021.,Education,Annual,Weighted average,"Lower secondary completion rate is calculated as the number of new entrants (enrollment minus repeaters) in the last grade of lower secondary education, regardless of age, divided by the population at the entrance age for the last grade of lower secondary education. 

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. Population data are drawn from the United Nations Population Division. Using a single source for population data standardizes definitions, estimations, and interpolation methods, ensuring a consistent methodology across countries and minimizing potential enumeration problems in national censuses.

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).",,"Data limitations preclude adjusting for students who drop out during the final year of lower secondary education. Thus this rate is a proxy that should be taken as an upper estimate of the actual lower secondary completion rate. 

There are many reasons why the rate can exceed 100 percent. The numerator may include late entrants and overage children who have repeated one or more grades of lower secondary education as well as children who entered school early, while the denominator is the number of children at the entrance age for the last grade of lower secondary education.","For aggregate data, each economy is classified based on the classification of World Bank Group's fiscal year 2021 (July 1, 2020-June 30, 2021).",,https://datacatalog.worldbank.org/public-licenses#cc-by
SE.LPV.PRIM.OOS.MA,CC BY-4.0,Male primary school age children out-of-school (%),The Out-of-School adjustment in our Learning Poverty indicator relies on enrollment data. Our preferred definition is the adjusted net primary enrollment as reported by UIS.,Word Bank and UNESCO Institute for Statistics,Education,,,,,,,"For more information please see Azevedo, Joao Pedro, and others. 2019. "Will Every Child Be Able to Read by 2030? Why Eliminating Learning Poverty Will Be Harder Than You Think, and What to Do About It." World Bank Policy Research Working Paper series. Washington, DC: World Bank. https://datacatalog.worldbank.org/dataset/learning-poverty",
SE.LPV.PRIM.BMP.MA,CC BY-4.0,Male pupils below minimum reading proficiency at end of primary (%). Low GAML threshold,"This indicator uses on Minimum Proficiency Levels (MPLs) defined by the Global Alliance to Monitor Learning led by the UNESCO Institute for Statistics (UIS) in the context of the SDG 4.1.1 monitoring, which established learning benchmarks across different cross-national and national assessments.",Word Bank and UNESCO Institute for Statistics,Education,,,,,,,"For more information please see Azevedo, Joao Pedro, and others. 2019. "Will Every Child Be Able to Read by 2030? Why Eliminating Learning Poverty Will Be Harder Than You Think, and What to Do About It." World Bank Policy Research Working Paper series. Washington, DC: World Bank. https://datacatalog.worldbank.org/dataset/learning-poverty",
SE.PRM.NINT.ZS,CC BY-4.0,Net intake rate in grade 1 (% of official school-age population),"Net intake rate in grade 1 is the number of new entrants in the first grade of primary education who are of official primary school entrance age, expressed as a percentage of the population of the corresponding age.",UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of February 2020.,Education,Annual,Weighted average,"Net intake rate in the first grade of primary education is calculated by dividing the number of children of official primary school entrance age who enter grade 1 of primary education for the first time by the population of the same age, and multiplying by 100.

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. Population data are drawn from the United Nations Population Division. Using a single source for population data standardizes definitions, estimations, and interpolation methods, ensuring a consistent methodology across countries and minimizing potential enumeration problems in national censuses.

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).",The net intake rate in the first grade of primary education indicates the level of access to primary education and the education system's capacity to provide access to primary education. A high net intake rate indicates a high degree of access to primary education for the official primary school entrance age children.,"The quality of data is affected when new entrants and repeaters are not correctly distinguished in the first grade of primary education. Caution is also needed for countries with a total population under 100,000 since the United Nations Population Division neither publish nor endorse single-age data for those countries. The data are highly subject to fluctuations in migration and other factors.","For aggregate data, each economy is classified based on the classification of World Bank Group's fiscal year 2021 (July 1, 2020-June 30, 2021).",,https://datacatalog.worldbank.org/public-licenses#cc-by
SE.PRM.NINT.FE.ZS,CC BY-4.0,"Net intake rate in grade 1, female (% of official school-age population)","Net intake rate in grade 1 is the number of new entrants in the first grade of primary education who are of official primary school entrance age, expressed as a percentage of the population of the corresponding age.",UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of February 2020.,Education,Annual,Weighted average,"Net intake rate in the first grade of primary education is calculated by dividing the number of children of official primary school entrance age who enter grade 1 of primary education for the first time by the population of the same age, and multiplying by 100.

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. Population data are drawn from the United Nations Population Division. Using a single source for population data standardizes definitions, estimations, and interpolation methods, ensuring a consistent methodology across countries and minimizing potential enumeration problems in national censuses.

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).",The net intake rate in the first grade of primary education indicates the level of access to primary education and the education system's capacity to provide access to primary education. A high net intake rate indicates a high degree of access to primary education for the official primary school entrance age children.,"The quality of data is affected when new entrants and repeaters are not correctly distinguished in the first grade of primary education. Caution is also needed for countries with a total population under 100,000 since the United Nations Population Division neither publish nor endorse single-age data for those countries. The data are highly subject to fluctuations in migration and other factors.","For aggregate data, each economy is classified based on the classification of World Bank Group's fiscal year 2021 (July 1, 2020-June 30, 2021).",,https://datacatalog.worldbank.org/public-licenses#cc-by
SE.PRM.NINT.MA.ZS,CC BY-4.0,"Net intake rate in grade 1, male (% of official school-age population)","Net intake rate in grade 1 is the number of new entrants in the first grade of primary education who are of official primary school entrance age, expressed as a percentage of the population of the corresponding age.",UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of February 2020.,Education,Annual,Weighted average,"Net intake rate in the first grade of primary education is calculated by dividing the number of children of official primary school entrance age who enter grade 1 of primary education for the first time by the population of the same age, and multiplying by 100.

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. Population data are drawn from the United Nations Population Division. Using a single source for population data standardizes definitions, estimations, and interpolation methods, ensuring a consistent methodology across countries and minimizing potential enumeration problems in national censuses.

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).",The net intake rate in the first grade of primary education indicates the level of access to primary education and the education system's capacity to provide access to primary education. A high net intake rate indicates a high degree of access to primary education for the official primary school entrance age children.,"The quality of data is affected when new entrants and repeaters are not correctly distinguished in the first grade of primary education. Caution is also needed for countries with a total population under 100,000 since the United Nations Population Division neither publish nor endorse single-age data for those countries. The data are highly subject to fluctuations in migration and other factors.","For aggregate data, each economy is classified based on the classification of World Bank Group's fiscal year 2021 (July 1, 2020-June 30, 2021).",,https://datacatalog.worldbank.org/public-licenses#cc-by
UIS.FEP.2.V,CC BY-4.0,Percentage of students in lower secondary vocational education who are female (%),Number of female vocational education students at the lower secondary level expressed as a percentage of the total number of vocational education students (male and female) at the lower secondary level in a given school year.,UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of March 2020.,Education,,,,,,,,
UIS.FEP.4.V,CC BY-4.0,Percentage of students in post-secondary non-tertiary vocational education who are female (%),Number of female vocational education students at the post-secondary non-tertiary level expressed as a percentage of the total number of vocational education students (male and female) at the post-secondary non-tertiary level in a given school year.,UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of March 2020.,Education,,,,,,,,
UIS.FEP.3.V,CC BY-4.0,Percentage of students in upper secondary vocational education who are female (%),Number of female vocational education students at the upper secondary level expressed as a percentage of the total number of vocational education students (male and female) at the upper secondary level in a given school year.,UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of March 2020.,Education,,,,,,,,
SE.PRM.PRS5.FE.ZS,CC BY-4.0,"Persistence to grade 5, female (% of cohort)",Persistence to grade 5 (percentage of cohort reaching grade 5) is the share of children enrolled in the first grade of primary school who eventually reach grade 5. The estimate is based on the reconstructed cohort method.,UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of September 2021.,Education,Annual,Weighted average,"Cohort survival rate is calculated by dividing the total number of children belonging to a cohort who reached each successive grade of the specified level of education by the number of children in the same cohort; those originally enrolled in the first grade of primary education, and multiplying by 100. To reflect current patterns of grade transition, it is calculated based on the reconstructed cohort method, which uses data on enrollment by grade for the two most recent years and data on repeaters by grade for the most recent of those two years. Aggregate data are based on World Bank estimates.

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. 

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).",The cohort survival rate measures an education system's holding power and internal efficiency. Rates approaching 100 percent indicate high retention and low dropout levels.,"The estimates have limitations in capturing real trend in that an observed rate will be applied to the underlying indicators such as repetition rate and promotion rate throughout the cohort life, and re-entrants, grade skipping, migration or transfers during a school year are not adequately captured.",,,https://datacatalog.worldbank.org/public-licenses#cc-by
SE.PRM.PRS5.MA.ZS,CC BY-4.0,"Persistence to grade 5, male (% of cohort)",Persistence to grade 5 (percentage of cohort reaching grade 5) is the share of children enrolled in the first grade of primary school who eventually reach grade 5. The estimate is based on the reconstructed cohort method.,UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of September 2021.,Education,Annual,Weighted average,"Cohort survival rate is calculated by dividing the total number of children belonging to a cohort who reached each successive grade of the specified level of education by the number of children in the same cohort; those originally enrolled in the first grade of primary education, and multiplying by 100. To reflect current patterns of grade transition, it is calculated based on the reconstructed cohort method, which uses data on enrollment by grade for the two most recent years and data on repeaters by grade for the most recent of those two years. Aggregate data are based on World Bank estimates.

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. 

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).",The cohort survival rate measures an education system's holding power and internal efficiency. Rates approaching 100 percent indicate high retention and low dropout levels.,"The estimates have limitations in capturing real trend in that an observed rate will be applied to the underlying indicators such as repetition rate and promotion rate throughout the cohort life, and re-entrants, grade skipping, migration or transfers during a school year are not adequately captured.",,,https://datacatalog.worldbank.org/public-licenses#cc-by
SE.PRM.CMPT.FE.ZS,CC BY-4.0,"Primary completion rate, female (% of relevant age group)","Primary completion rate, or gross intake ratio to the last grade of primary education, is the number of new entrants (enrollments minus repeaters) in the last grade of primary education, regardless of age, divided by the population at the entrance age for the last grade of primary education. Data limitations preclude adjusting for students who drop out during the final year of primary education.",UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of September 2021.,Education,Annual,Weighted average,"Primary completion rate is calculated by dividing the number of new entrants (enrollment minus repeaters) in the last grade of primary education, regardless of age, by the population at the entrance age for the last grade of primary education and multiplying by 100. 

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. Population data are drawn from the United Nations Population Division. Using a single source for population data standardizes definitions, estimations, and interpolation methods, ensuring a consistent methodology across countries and minimizing potential enumeration problems in national censuses.

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).","The World Bank and the UNESCO Institute for Statistics jointly developed the primary completion rate indicator. Increasingly used as a core indicator of an education system's performance, it reflects an education system's coverage and the educational attainment of students.","Data limitations preclude adjusting for students who drop out during the final year of primary education. Thus this rate is a proxy that should be taken as an upper estimate of the actual primary completion rate.
 
There are many reasons why the primary completion rate can exceed 100 percent. The numerator may include late entrants and overage children who have repeated one or more grades of primary education as well as children who entered school early, while the denominator is the number of children at the entrance age for the last grade of primary education.","For aggregate data, each economy is classified based on the classification of World Bank Group's fiscal year 2021 (July 1, 2020-June 30, 2021).",,https://datacatalog.worldbank.org/public-licenses#cc-by
SE.PRM.CMPT.MA.ZS,CC BY-4.0,"Primary completion rate, male (% of relevant age group)","Primary completion rate, or gross intake ratio to the last grade of primary education, is the number of new entrants (enrollments minus repeaters) in the last grade of primary education, regardless of age, divided by the population at the entrance age for the last grade of primary education. Data limitations preclude adjusting for students who drop out during the final year of primary education.",UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of September 2021.,Education,Annual,Weighted average,"Primary completion rate is calculated by dividing the number of new entrants (enrollment minus repeaters) in the last grade of primary education, regardless of age, by the population at the entrance age for the last grade of primary education and multiplying by 100. 

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. Population data are drawn from the United Nations Population Division. Using a single source for population data standardizes definitions, estimations, and interpolation methods, ensuring a consistent methodology across countries and minimizing potential enumeration problems in national censuses.

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).","The World Bank and the UNESCO Institute for Statistics jointly developed the primary completion rate indicator. Increasingly used as a core indicator of an education system's performance, it reflects an education system's coverage and the educational attainment of students.","Data limitations preclude adjusting for students who drop out during the final year of primary education. Thus this rate is a proxy that should be taken as an upper estimate of the actual primary completion rate.
 
There are many reasons why the primary completion rate can exceed 100 percent. The numerator may include late entrants and overage children who have repeated one or more grades of primary education as well as children who entered school early, while the denominator is the number of children at the entrance age for the last grade of primary education.","For aggregate data, each economy is classified based on the classification of World Bank Group's fiscal year 2021 (July 1, 2020-June 30, 2021).",,https://datacatalog.worldbank.org/public-licenses#cc-by
SE.PRM.CMPT.ZS,CC BY-4.0,"Primary completion rate, total (% of relevant age group)","Primary completion rate, or gross intake ratio to the last grade of primary education, is the number of new entrants (enrollments minus repeaters) in the last grade of primary education, regardless of age, divided by the population at the entrance age for the last grade of primary education. Data limitations preclude adjusting for students who drop out during the final year of primary education.",UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of September 2021.,Education,Annual,Weighted average,"Primary completion rate is calculated by dividing the number of new entrants (enrollment minus repeaters) in the last grade of primary education, regardless of age, by the population at the entrance age for the last grade of primary education and multiplying by 100. 

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. Population data are drawn from the United Nations Population Division. Using a single source for population data standardizes definitions, estimations, and interpolation methods, ensuring a consistent methodology across countries and minimizing potential enumeration problems in national censuses.

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).","The World Bank and the UNESCO Institute for Statistics jointly developed the primary completion rate indicator. Increasingly used as a core indicator of an education system's performance, it reflects an education system's coverage and the educational attainment of students.","Data limitations preclude adjusting for students who drop out during the final year of primary education. Thus this rate is a proxy that should be taken as an upper estimate of the actual primary completion rate.
 
There are many reasons why the primary completion rate can exceed 100 percent. The numerator may include late entrants and overage children who have repeated one or more grades of primary education as well as children who entered school early, while the denominator is the number of children at the entrance age for the last grade of primary education.","For aggregate data, each economy is classified based on the classification of World Bank Group's fiscal year 2021 (July 1, 2020-June 30, 2021).",,https://datacatalog.worldbank.org/public-licenses#cc-by
SE.PRM.ENRL.FE.ZS,CC BY-4.0,"Primary education, pupils (% female)",Female pupils as a percentage of total pupils at primary level include enrollments in public and private schools.,UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of February 2020.,Education,Annual,Weighted average,"Percentage of female enrollment is calculated by dividing the total number of female students at a given level of education by the total enrollment at the same level, and multiplying by 100.

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. 

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).",The share of girls allows an assessment on gender composition in school enrollment. A value greater than 50% indicates participation of more girls at a specific level or programme of education.,"The percentage of female enrollment is limited in assessing gender parity, because it's affected by the gender composition of population. Ratio of female to male in enrollment rate provides a population adjusted measure of gender parity.","For aggregate data, each economy is classified based on the classification of World Bank Group's fiscal year 2021 (July 1, 2020-June 30, 2021).",,https://datacatalog.worldbank.org/public-licenses#cc-by
SE.PRM.TCHR.FE.ZS,CC BY-4.0,"Primary education, teachers (% female)",Female teachers as a percentage of total primary education teachers includes full-time and part-time teachers.,UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of September 2021.,Education,Annual,Weighted average,"The share of female teachers in primary education is calculated by dividing the total number of female teachers at primary level of education by the total number of teachers at the same level, and multiplying by 100.

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. 

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).",The share of female teachers shows the level of gender representation in the teaching force. A value of greater than 50% indicates more opportunities or preference for women to participate in teaching activities. Women teachers are important as they serve as role models to girls and help to attract and retain girls in school.,,"For aggregate data, each economy is classified based on the classification of World Bank Group's fiscal year 2021 (July 1, 2020-June 30, 2021).",,https://datacatalog.worldbank.org/public-licenses#cc-by
SE.SEC.PROG.ZS,CC BY-4.0,Progression to secondary school (%),Progression to secondary school refers to the number of new entrants to the first grade of secondary school in a given year as a percentage of the number of students enrolled in the final grade of primary school in the previous year (minus the number of repeaters from the last grade of primary education in the given year).,UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of February 2020.,Education,Annual,Weighted average,"Effective transition rate is calculated by dividing the number of new entrants in the first grade of secondary education in a given year (t) by the number of students who enrolled in the final grade of primary education in the previous school year (t-1) minus the number of repeaters from the last grade of primary education in the given year (t), and multiplying by 100. 
Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. 

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).","The effective transition rate from primary to secondary education conveys the degree of access or transition between the two levels. As completing primary education is a prerequisite for participating in lower secondary education, growing numbers of primary completers will inevitably create pressure for more available places at the secondary level. A low effective transition rate can signal such problems as an inadequate examination and promotion system or insufficient secondary education capacity.",The quality of data on the transition rate is affected when new entrants and repeaters are not correctly distinguished. Students who interrupt their studies after completing primary education could also affect data quality.,"For aggregate data, each economy is classified based on the classification of World Bank Group's fiscal year 2021 (July 1, 2020-June 30, 2021).",,https://datacatalog.worldbank.org/public-licenses#cc-by
SE.SEC.PROG.FE.ZS,CC BY-4.0,"Progression to secondary school, female (%)",Progression to secondary school refers to the number of new entrants to the first grade of secondary school in a given year as a percentage of the number of students enrolled in the final grade of primary school in the previous year (minus the number of repeaters from the last grade of primary education in the given year).,UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of February 2020.,Education,Annual,Weighted average,"Effective transition rate is calculated by dividing the number of new entrants in the first grade of secondary education in a given year (t) by the number of students who enrolled in the final grade of primary education in the previous school year (t-1) minus the number of repeaters from the last grade of primary education in the given year (t), and multiplying by 100. 
Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. 

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).","The effective transition rate from primary to secondary education conveys the degree of access or transition between the two levels. As completing primary education is a prerequisite for participating in lower secondary education, growing numbers of primary completers will inevitably create pressure for more available places at the secondary level. A low effective transition rate can signal such problems as an inadequate examination and promotion system or insufficient secondary education capacity.",The quality of data on the transition rate is affected when new entrants and repeaters are not correctly distinguished. Students who interrupt their studies after completing primary education could also affect data quality.,"For aggregate data, each economy is classified based on the classification of World Bank Group's fiscal year 2021 (July 1, 2020-June 30, 2021).",,https://datacatalog.worldbank.org/public-licenses#cc-by
SE.SEC.PROG.MA.ZS,CC BY-4.0,"Progression to secondary school, male (%)",Progression to secondary school refers to the number of new entrants to the first grade of secondary school in a given year as a percentage of the number of students enrolled in the final grade of primary school in the previous year (minus the number of repeaters from the last grade of primary education in the given year).,UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of February 2020.,Education,Annual,Weighted average,"Effective transition rate is calculated by dividing the number of new entrants in the first grade of secondary education in a given year (t) by the number of students who enrolled in the final grade of primary education in the previous school year (t-1) minus the number of repeaters from the last grade of primary education in the given year (t), and multiplying by 100. 
Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. 

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).","The effective transition rate from primary to secondary education conveys the degree of access or transition between the two levels. As completing primary education is a prerequisite for participating in lower secondary education, growing numbers of primary completers will inevitably create pressure for more available places at the secondary level. A low effective transition rate can signal such problems as an inadequate examination and promotion system or insufficient secondary education capacity.",The quality of data on the transition rate is affected when new entrants and repeaters are not correctly distinguished. Students who interrupt their studies after completing primary education could also affect data quality.,"For aggregate data, each economy is classified based on the classification of World Bank Group's fiscal year 2021 (July 1, 2020-June 30, 2021).",,https://datacatalog.worldbank.org/public-licenses#cc-by
SE.LPV.PRIM.BMP,CC BY-4.0,Pupils below minimum reading proficiency at end of primary (%). Low GAML threshold,"This indicator uses on Minimum Proficiency Levels (MPLs) defined by the Global Alliance to Monitor Learning led by the UNESCO Institute for Statistics (UIS) in the context of the SDG 4.1.1 monitoring, which established learning benchmarks across different cross-national and national assessments.",Word Bank and UIS,Education,,,,,,,,
UIS.ROFST.3.F.CP,CC BY-4.0,"Rate of out-of-school youth of upper secondary school age, female (%)",Number of females of official upper secondary school age who are not enrolled in upper secondary school expressed as a percentage of the female population of official upper secondary school age.,UNESCO Institute for Statistics (http://uis.unesco.org/),Education,,,,,,,,
UIS.ROFST.3.M.CP,CC BY-4.0,"Rate of out-of-school youth of upper secondary school age, male (%)",Number of males of official upper secondary school age who are not enrolled in upper secondary school expressed as a percentage of the male population of official upper secondary school age.,UNESCO Institute for Statistics (http://uis.unesco.org/),Education,,,,,,,,
